Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FLC - ALL - Notify Me,Linux - Chrome 98.0.4758.54,,,2022-06-15 09:32:48,2022-06-15 09:33:41,52.920s,PASSED
,,,,,,,
Test Cases/FLC/Notify Me/JP - Notify Me,Linux - Chrome 98.0.4758.54,,,2022-06-15 09:32:48,2022-06-15 09:33:41,52.669s,PASSED
"openBrowser("""")",Linux - Chrome 98.0.4758.54,,,2022-06-15 09:32:49,2022-06-15 09:33:14,24.979s,PASSED
maximizeWindow(),Linux - Chrome 98.0.4758.54,,,2022-06-15 09:33:14,2022-06-15 09:33:14,0.752s,PASSED
RN = Math.random() * 10000000,Linux - Chrome 98.0.4758.54,,,2022-06-15 09:33:14,2022-06-15 09:33:14,0.019s,PASSED
"locale = ""jp""",Linux - Chrome 98.0.4758.54,,,2022-06-15 09:33:14,2022-06-15 09:33:14,0.002s,PASSED
"brand = ""FLC""",Linux - Chrome 98.0.4758.54,,,2022-06-15 09:33:14,2022-06-15 09:33:14,0.001s,PASSED
"email = ""testMail"" + RN + ""@yopmail.com""",Linux - Chrome 98.0.4758.54,,,2022-06-15 09:33:14,2022-06-15 09:33:14,0.001s,PASSED
"navigateToUrl(""https://storefront:may2019@test.falconeri.com/jp/product/basic-baumwollhose-UPL0004.html?dwvar_UPL0004_Z_COL_FALCU=8493"")",Linux - Chrome 98.0.4758.54,,,2022-06-15 09:33:14,2022-06-15 09:33:20,5.612s,PASSED
"enhancedClick(findTestObject(""FLC/AT/Page_Basic-Baumwollhose - Homewear  Falconeri/div_XXXXL""))",Linux - Chrome 98.0.4758.54,,,2022-06-15 09:33:20,2022-06-15 09:33:23,2.773s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/FLC/DE/Page_Jacke Aus Cashmere Ultralight - Cardig_bdd78b/input_DML261G_emailNotify""), 10)",Linux - Chrome 98.0.4758.54,,,2022-06-15 09:33:23,2022-06-15 09:33:26,3.698s,PASSED
"setText(findTestObject(""Object Repository/FLC/DE/Page_Jacke Aus Cashmere Ultralight - Cardig_bdd78b/input_DML261G_emailNotify""), email)",Linux - Chrome 98.0.4758.54,,,2022-06-15 09:33:26,2022-06-15 09:33:32,5.485s,PASSED
"enhancedClick(findTestObject(""FLC/Universal/notifyMeButton""))",Linux - Chrome 98.0.4758.54,,,2022-06-15 09:33:32,2022-06-15 09:33:41,9.043s,PASSED
