Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FLC - ALL - Notify Me,Chrome 102.0.5005.115,,,2022-06-15 09:26:32,2022-06-15 09:29:46,3m - 14.256s,PASSED
,,,,,,,
Test Cases/FLC/Notify Me/JP - Notify Me,Chrome 102.0.5005.115,,,2022-06-15 09:26:32,2022-06-15 09:29:46,3m - 13.973s,PASSED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-06-15 09:26:32,2022-06-15 09:26:36,3.402s,PASSED
maximizeWindow(),Chrome 102.0.5005.115,,,2022-06-15 09:26:36,2022-06-15 09:26:36,0.244s,PASSED
RN = Math.random() * 10000000,Chrome 102.0.5005.115,,,2022-06-15 09:26:36,2022-06-15 09:26:36,0.021s,PASSED
"locale = ""jp""",Chrome 102.0.5005.115,,,2022-06-15 09:26:36,2022-06-15 09:26:36,0.001s,PASSED
"brand = ""FLC""",Chrome 102.0.5005.115,,,2022-06-15 09:26:36,2022-06-15 09:26:36,0.001s,PASSED
"email = ""testMail"" + RN + ""@yopmail.com""",Chrome 102.0.5005.115,,,2022-06-15 09:26:36,2022-06-15 09:26:36,0.002s,PASSED
"navigateToUrl(""https://storefront:may2019@test.falconeri.com/jp/product/basic-baumwollhose-UPL0004.html?dwvar_UPL0004_Z_COL_FALCU=8493"")",Chrome 102.0.5005.115,,,2022-06-15 09:26:36,2022-06-15 09:29:43,3m - 6.981s,PASSED
"enhancedClick(findTestObject(""FLC/AT/Page_Basic-Baumwollhose - Homewear  Falconeri/div_XXXXL""))",Chrome 102.0.5005.115,,,2022-06-15 09:29:43,2022-06-15 09:29:44,0.766s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/FLC/DE/Page_Jacke Aus Cashmere Ultralight - Cardig_bdd78b/input_DML261G_emailNotify""), 10)",Chrome 102.0.5005.115,,,2022-06-15 09:29:44,2022-06-15 09:29:44,0.534s,PASSED
"setText(findTestObject(""Object Repository/FLC/DE/Page_Jacke Aus Cashmere Ultralight - Cardig_bdd78b/input_DML261G_emailNotify""), email)",Chrome 102.0.5005.115,,,2022-06-15 09:29:44,2022-06-15 09:29:46,1.162s,PASSED
"enhancedClick(findTestObject(""FLC/Universal/notifyMeButton""))",Chrome 102.0.5005.115,,,2022-06-15 09:29:46,2022-06-15 09:29:46,0.493s,PASSED
